文章id,课程名称,站内信文案
2f6k805f,引爆朋友圈的手机摄影课,【美篇课堂】想拍出人人称赞的好照片吗？让马云御用摄影师教你两招吧>>
2ghb492d,PS零基础入门：15天从小白到大神,【美篇课堂】15天掌握修图技能！学ps一点也不难>>
2f8f9i3v,80节精品课程，教你成为Snapseed修图高手,【美篇课堂】3分靠拍，7分靠修！和小美一起动动手指，修出大片>>
2i7mn1bf,全球iPhone摄影冠军教你：普通手机如何随手拍出专业级照片！,【美篇课堂】对拍出好照片没信心？试一试全球iPhone摄影冠军的拍摄手法吧>>
2jhuyu6w,从素人到女神，旅拍摄影速成指南,【美篇课堂】游客照怎么拍出新鲜感，高级感？原来还有这一招>>
2f8bkd6s,北师大教授康震的唐诗解读课,【美篇课堂】听说读诗的人会活得更加高级，原本我是不信的>>
2hmx4ox5,跟着蔡骏学写作,【美篇课堂】想写出加精的美篇吗？听听知名悬疑小说作家蔡骏的写作课吧>>
2iii56ap,听陈更品诗词，养成24种人生之美,【美篇课堂】落落大方，出口成诗，中国诗词大会冠军陈更是这样学习的>>
2gb6bc6m,高效的记忆法，让记忆不再那么困难,【美篇课堂】马什么梅？马东什么？什么冬梅？记性差该如何是好>>
2hzecj87,张艺谋金陵十三钗演员形体仪态导师：14节极简体态修炼课，让你散发独特女人味,【美篇课堂】60岁的年龄，20岁的气质。体态的修炼也是有秘诀的>>
2jauclrj,国家一级播音员：零基础学朗诵，10节课拥有董卿一样,【美篇课堂】跟国家一级播音员学朗诵，像董卿一样拥有高质感的生活>>
2irmq0q3,《鬼谷子》处世绝学30招，教你改变人生格局,【美篇课堂】揭露人性真相的一本书，25岁之后一定要读一读>>
2ja8lq63,高情商女人会说话：36种话术技巧，做谈吐自如幸福女人,【美篇课堂】神奇的心理学，教你读懂微表情。察言观色也没那么难嘛>>
2hwdt7pl,14天极速瘦身法――不节食、不打针、不吃药、易坚持,【美篇课堂】不节食、不打针、不吃药、易坚持的瘦身方法有吗？还真有>>
2f8aqhav,五招 教你改善睡眠质量――睡前听一遍，甜睡到天亮,【美篇课堂】觉睡少了没精神，睡多了头昏脑胀，怎么才能提高睡眠质量呢>>
2h38pow6,正面管教：35个实用养育工具，高效培养孩子自主学习力,【美篇课堂】当孩子有这种习惯时，千万严肃对待，及时让他改掉>>
2g38rjaw,听刘墉讲亲子教育，让孩子懂规矩、有教养、更聪明,【美篇课堂】证书最直接作用并非炫耀，而是让你拥有更多的机会和选择权，想通过各种考试，考霸给你支个招>>
2hon69uj,写作魔法42招，“打扮”作文得高分,【美篇课堂】培养超过100个中高考作文满分、5个市中高考语文状元的老师说：这样做，作文才能有机会提高>>
2eapmvfu,声乐魔法课：从五音不全到K歌之王，唱出自己的好声音,【美篇课堂】简单又易学的兴趣爱好，非唱歌莫属。但想能唱、会唱、唱得好，可以听听中央音乐学院的特聘导师的意见>>
2lpwoh4y,女性必备健康营养学，吃出健康吃出美,【美篇课堂】不吃大鱼大肉还会得脂肪肝？让《养生堂》的康叔给大家说说饮食雷区>>
2kmetfzb,哈佛大学特邀、世界记忆大师李威亲授：17堂最强大脑记忆法，带你干掉烂记性！,【美篇课堂】混得好的人，都有这个特质！点进来看看你有没有>>
2khxq8x6,谢娜御用瑜伽导师：古法抗衰瑜伽，塑美体/养五脏/护心神，从根源上抗衰减龄，保持年轻态,【美篇课堂】想越活越美，越活越健康，不用吃药、不用手术，我推荐你一个方法>>
2hbxoi6v,协和医院皮肤博士的“美肌处方”：40岁龄20岁颜的主任医师，教你养成冻龄牛奶肌,【美篇课堂】43岁的大S活成18岁少女：为什么有些人，越活越年轻>>
2i7jdjv8,爱人先爱己，女性自爱力36堂心理提升课,【美篇课堂】学会爱自己，是一生中最重要的事情，但我猜你现在还未得要领>>
2f87p7ua,12堂懒人减脂法，躺着瘦，站着瘦，吃着瘦,【美篇课堂】现在有个非常高效的瘦身方法，再低头看看自己肚子上的肉，赶紧学起来呀>>
2lptfjl9,每天15分钟，21天带你写出一手漂亮好字,【美篇课堂】写字好看越来越难得了，其实要练出一手漂亮好字，21天就可以>>
2lpvsb2k,听读书怪才解读曾国藩，收获人生经验,【美篇课堂】曾国藩说30岁以后，你还有无数个翻身的机会，你把握住了吗>>
2lq0x6lk,乐嘉亲授：深入灵魂的两性幸福关系沟通技巧，教你用三分钟锁住男人心！,【美篇课堂】马伊P文章离婚真相：杀死婚姻的，原来是这一点>>
2lq2qnb3,第一个能让你赚钱的理财课： 零基础入门理财，让你从“没钱理财”到“年收益10万”,【美篇课堂】零基础入门理财，让你从“没钱理财”到“年收益10万”>>
2m5sjc6t,从0到1学会用手机拍出酷炫的短视频vlog,【美篇课堂】手机拍延时摄影、慢动作拍摄只用简单的三脚架就够了>>
2m7y67px,精致女人减龄热舞操，12天打造凹凸有致好身材,【美篇课堂】女人不管多大了，都要逼自己瘦下来>>
2m80dpbo,何洁、Selina教练的精准瘦身跟练课：无器械徒手燃脂，每天15分钟在家轻松瘦,【美篇课堂】霍思燕、闫妮减肥对比照：世界正在狠狠奖励，身材好的女人>>
2mksdgs6,20堂睡眠变美课，拯救熬夜脸，睡出美到发光的自己,【美篇课堂】睡前花3分钟做这件小事，你会越来越美>>
2m7ijyla,中华茶道和经络养生,【美篇课堂】活到120岁的老人道出养生秘诀，竟是每天早起一杯清茶>>
2m7xqrv3,女性一生受用的中医百科全书（第一季）：养颜冻龄术,【美篇课堂】90%的女性25岁之后开始“初老”，然而为什么她们35岁了还如同少女>>
2m7xd8dp,《华为手机摄影实操班》金牌摄影导师演示教学，手把手教你拍出完美照片,【美篇课堂】华为手机拍照技巧最强合集！你值得学习>>
2m890gm7,重返经典揭幕之作：李山讲诗经,【美篇课堂】《李山讲诗经》，走进中国人的精神家底>>
2m89tg0b,从气质到气场，女人快速进阶的40部书单,【美篇课堂】从气质到气场，女人快速进阶的40部书单>>
2mktik9k,刘少雄・唐诗宋词的情感世界,【美篇课堂】喜欢诗词又不理解?跟着这个老师一起学，仿佛穿越回古代诗词世界>>
2m7xbeo2,诗词写作零基础“神仙课”,【美篇课堂】0基础诗词创作“神仙课”，2小时帮你学会作诗填词>>
2m88e1z0,忘掉技巧，人人都会的唱歌课,【美篇课堂】沉寂20年，1分钟“迷倒”那英：唱歌好听的女人，全世界都会为她着迷>>
2m7xiqk7,写好行楷很简单,【美篇课堂】明白这3点，写学一手美字很简单>>
2oklyeoe,40部女神书单，读书的女人不怕老,【美篇课堂】主持春晚16年，52岁惊艳回归：世上不怕老的女人，只有这一种>>
2oy4qx1d,李开复力荐的哈佛NESS健康管理课，让你吃出好身材，玩出好体质，养出好气色,【美篇课堂】84岁钟南山“肌肉照”刷爆朋友圈，远比你优秀和忙碌的人，更注重身体健康>>
2oy8a8nv,优雅体态四步曲，让你成为气质女人，不惧时间、持续逆龄！,【美篇课堂】春晚主持大换血，她凭什么站C位？原来好的体态，才是女人最迷人的资本>>
2ei8c6ct,来自美国国际摄影展览金牌奖得主的摄影课,【美篇课堂】来自美国国际摄影展览金牌奖得主的摄影课，一起来学习一下吧>>
2pelp546,《40堂女性婚姻法律课》资深律师手把手教你捍卫婚姻权益,【美篇课堂】20年资深律师告诉你：出轨的婚姻这样保护>>
2p5r1bo5,给普通人必学的增值变现课――“读写说”45天全面提升计划,【美篇课堂】2年从月入6000逆袭月入10万，普通人掌握哪些能力才能真正赚到钱>>
2p5tt79b,8堂课让孩子戒掉游戏瘾，重新爱上学习,【美篇课堂】手机和不玩手机的孩子，学习成绩竟然相差这么大>>
2p5ra98k,【李现私教】零基础高效急速燃脂课,【美篇课堂】60岁倪萍，半年暴瘦20斤，堪比整容：女人的高级感，就在这一点>>
2p5qp87p,5分钟打动人心：高情商沟通课,【美篇课堂】真正高情商的人，都是用这种方式聊天>>
2qo2flcx,15节一学就会的0基础手机Vlog课：随时随地，用vlog记录生活！,【美篇课堂】短视频怎么拍更好看？学会这几招，手把手教你用手机把生活拍出大片感>>
2qo2miqu,一个不“克”你的摄影课，解锁全部手机摄影密码,【美篇课堂】和老师一起学摄影，解锁全部手机摄影密码>>
2sagqdap,国民声音教练，教你科学练就好声音,【美篇课堂】国宝级语言艺术家告诉你，别让你的声音毁了你的形象>>
2saos8vn,粥左罗.零基础高效写作,【美篇课堂】为什么我鼓励人人都该学学写作>>
2scp4igs,零基础也能学好的书法课 ，15天轻松写出漂亮人生！,【美篇课堂】《甄执》女主“书法照”曝光：深到骨子里的气质，30岁该有了>>
2shh8cvp,影响人生的24部文学经典，助你轻松应对困境,【美篇课堂】如果皮囊难以修复，让我们一起用思想，去填满它>>
2shdjmvm,杨洪基声乐大师课,【美篇课堂】《滚滚长江东逝水》的演唱者-著名歌唱家杨洪基老师，首次传授60年演唱秘籍>>
2shkfjb2,从零开始教你学摄影，为你讲解摄影基础的方方面面（适合新手）,【美篇课堂】刚踏入摄影圈不知如何起步？从零开始教你学摄影，你的第一堂摄影课>>
2shdvz7a,「相伴四季」古诗词特辑,【美篇课堂】诗书于我如故人，读书不觉已春深，你对古人诗词中的深意知多少呢>>
2shtbotf,古诗词杂志,【美篇课堂】50个深情故事，50段动人诗篇，听大仙老师为你解说一段不一样的历史，一段有人情味的历史>>
2si26ebx,央广主持人许川的17堂声音修炼课,【美篇课堂】你的声音，还有很大进步空间，和播音员只差一个科学的训练方法>>
2si2c03r,99个用得上的《道德经》智慧，全面升级你的人生,【美篇课堂】中国人最缺的5个大智慧，《道德经》早就讲透了（强烈推荐）>>
2si2ibh6,学好写字，个人魅力加百分！,【美篇课堂】从挑选笔墨教材到笔法技巧，名家几十年功底帮你练成一手可以纵横朋友圈的好字>>
2lmcbpp3,跟杨雨品读古诗词，腹有诗书气自华,【美篇课堂】容貌或许天赐，但气质一定可以练出来。从“毛丫头”变身“美女教授”，一起来看杨雨的读诗气质养成记>>
2tvmyexd,【董卿领读】知性女人必学的审美提升课：我们为什么爱宋朝,【美篇课堂】董卿告诉你：越活越高级的女人，都有这个共同点>>